,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Atf5,594.7973914043063,0.04500354797655758,0.21366462452051285,0.21062704262603385,0.8331783087039829,0.9902707139829444
Nup62,42.23343475532522,0.3175578725410852,0.2957548297231366,1.0737199890813582,0.2829481996040456,0.9474502956129918
Tbc1d17,78.64212951194986,0.08510769132118222,0.25630548047556534,0.33205568278629094,0.7398472132505023,0.9849759672058356
Akt1s1,89.23854997426797,-0.0778041347792949,0.2731084524753166,-0.28488365729481324,0.7757332769998949,0.9866262364528611
Pnkp,26.757983284423723,0.40298602297492636,0.3671255598852522,1.0976790150510976,0.2723446762500792,
Ptov1,379.5170492226294,0.2812337361030299,0.23270206638224625,1.2085571068417735,0.2268330437102969,0.9449068990430718
Med25,95.28448372945708,0.054123363149723006,0.2380882124824819,0.22732483303307302,0.8201711645586165,0.9875772127952741
Fuz,38.64482419052342,0.06085656513793083,0.32712281376987074,0.18603583295398993,0.85241666116807,0.9918052810871902
Ap2a1,84.09510180814047,0.1897787804279021,0.2572644363474925,0.7376798096242261,0.4607090441399395,0.9589335095447377
Cpt1c,55.49511499322158,-0.011531597059056145,0.30591096319150196,-0.037695926091531745,0.9699301241979349,0.9944852821739768
Prmt1,109.37018619211445,0.4085742669541963,0.27651683406001915,1.477574659579364,0.13952166115089132,0.8895622339413337
Bcl2l12,28.838352746975392,0.8442934405940035,0.3535606031586384,2.387973753442148,0.016941551640651406,
Irf3,62.37709929544719,0.11811527308533158,0.27063428951025664,0.43643868372730793,0.6625184775144957,0.9802796251612313
Scaf1,94.56108136221688,0.2267278058768553,0.2676082285515788,0.8472377964758875,0.39686259018133563,0.9561229874647326
Rras,444.01384849552375,0.18867393626452994,0.21955455014070818,0.8593487866391861,0.3901481155871882,0.9549827989415576
Prr12,58.09037035039592,-0.035837240935358,0.2806136654522116,-0.12771024845709472,0.8983782794148161,0.9935055500003961
Prrg2,29.267959256986106,0.3124733454068041,0.3477809786301146,0.8984773883770618,0.36893109481211794,
Nosip,42.07979643465578,0.297226318895997,0.29463985403260545,1.0087783944635857,0.31308092500160756,0.9474502956129918
Rcn3,1146.7404041647667,0.26410102903362853,0.18352630670004116,1.4390363636820753,0.15014022019096027,0.8953840545257316
Fcgrt,1150.3261853125166,0.31193262548318784,0.18822055360676498,1.6572718521213423,0.09746452545165153,0.8534375430310246
Rps11,3761.5905203029865,0.25079846163443276,0.24655757440781445,1.017200393201483,0.30905810902739217,0.9474502956129918
Rpl13a,4232.145929684566,0.18820784719134978,0.21977487170835486,0.8563665433103058,0.39179506457026936,0.9558579979982836
Flt3l,144.19853229429,-0.22189617987455942,0.21149944106454227,-1.0491572874031587,0.2941057333248074,0.9474502956129918
Aldh16a1,54.06995062939669,0.026956659715278497,0.284606717961523,0.0947154723133516,0.9245408281003471,0.9935055500003961
Pih1d1,124.74632745169448,0.0773741577105644,0.23225885308645958,0.3331376035072448,0.7390304154889435,0.9849759672058356
Slc17a7,31.964294623929483,0.9178770684132014,0.35804534157727014,2.563577742332149,0.010359949681352015,
Tead2,23.021742251839008,1.0432274618301964,0.3821044631650668,2.730215326952432,0.006329296996509691,
Trpm4,20.177428732081488,-0.4008333591858224,0.41500974595024614,-0.9658408340942353,0.3341238320368899,
Snrnp70,301.84023469017836,-0.22017095468509779,0.2009184296803157,-1.095822593454543,0.2731564190604856,0.9474502956129918
Ruvbl2,25.805778992078988,0.2230142071877566,0.35225462402591895,0.6331051233307506,0.526664996830827,
Gys1,7.342926072883118,-0.29645681397018275,0.6135661419606675,-0.48317009967800184,0.628974963834878,
Ftl1,7723.0276101552545,0.4776985083040585,0.28100433526173135,1.6999684643979724,0.0891368574646415,0.8285403044927662
Bax,178.58796781256154,-0.14197320026185706,0.25292331090892534,-0.5613290437787283,0.5745732456627178,0.9749756264217859
Dhdh,34.952963367802354,-0.3850960185763142,0.35031090497884626,-1.0992978325912193,0.2716381774459228,
Nucb1,540.4561596181309,-0.06718460522579243,0.20318828051193893,-0.33065196996853763,0.7409073857540329,0.9849759672058356
Ppp1r15a,1230.8983330741191,0.16828249602537443,0.1845013827744385,0.9120934135822037,0.3617195452427201,0.9492504925724602
Plekha4,59.32780232574462,0.3021972818417492,0.27856352696660636,1.0848415265720555,0.2779918497038101,0.9474502956129918
Bcat2,44.976926393704126,0.36451059058959173,0.2963352555556413,1.2300615055273083,0.21867407369633285,0.9449068990430718
Mamstr,11.041015329925342,0.02460342406326614,0.519519852830993,0.047358005529906044,0.9622278981748134,
Car11,15.53036134701577,0.12395920269552117,0.44951180298008003,0.27576406642433454,0.7827292847363859,
Dbp,273.72737321200754,4.510044276058429,1.1353984715334662,3.9722127421637055,7.120808065084154e-05,0.02584853327625548
Sphk2,16.501086533709206,-0.21149201740615048,0.442283759104293,-0.47818173978276124,0.6325208579882243,
Rpl18,3438.2422282408693,0.23411649434424783,0.27565478394312937,0.8493104708552733,0.3957085559413378,0.9561229874647326
Fam83e,9.923460859028415,0.48525552082813983,0.5637490623332104,0.8607651049915608,0.38936742747594266,
Cyth2,79.75928584251626,0.07622879035002109,0.2703798217963324,0.28193224569635805,0.7779954635462015,0.9866262364528611
Grwd1,11.177340716492507,0.4673437762678558,0.5349118937965134,0.8736836508736123,0.38229055685914126,
Grin2d,8.141705056360445,0.28029842425596924,0.5926131641956928,0.4729871713808387,0.6362223316663158,
Kdelr1,450.04402749658897,0.20003702441267127,0.1939385955626279,1.0314451532061035,0.3023321157632113,0.9474502956129918
Tmem143,12.432251128437057,0.9726130510263726,0.5080296696942006,1.9144808050518383,0.05555874945310844,
Emp3,1115.2930859661153,-0.04635520497916545,0.23564957567039405,-0.1967124483347385,0.844052568070423,0.9911175247666117
Ccdc114,6.142555882707542,-0.33771547262957524,0.65952185824469,-0.5120610763810031,0.6086082648226407,
Nomo1,75.33203228242368,-0.44932232738295425,0.2875382187094898,-1.5626525385027885,0.11813434349240569,0.8802792957545433
Sergef,19.808236569130592,0.018560159358370007,0.4242039337346868,0.04375291665724682,0.9651013581788773,
Saal1,31.97168902905477,0.1111835604152881,0.33954435334649363,0.32744929880141166,0.7433280846720924,
Hps5,23.729624055276823,-0.4185393801976799,0.37640373040102987,-1.111942699802039,0.2661627879104772,
Gtf2h1,65.70823833997754,0.3647806697747138,0.2678440897201339,1.3619142022355895,0.1732249635617814,0.9141544718423049
Ldha,376.0069075862081,-0.02740938929343404,0.21407742351897527,-0.12803493634630997,0.8981213253524858,0.9935055500003961
Tsg101,105.84231055937913,-0.1055886218705296,0.24120392598277607,-0.4377566469546996,0.6615627009002432,0.9802796251612313
Uevld,14.873836055839343,-0.608535242306065,0.45061867158482505,-1.350443913399877,0.1768736329214523,
Spty2d1,209.6318155941897,-0.1632132824098457,0.20100449120520086,-0.8119882368360866,0.41679838130335267,0.9589335095447377
Gm32031,10.141206684142611,-0.5166602416204044,0.5266467550502304,-0.9810375487287043,0.3265742252910254,
Tmem86a,19.95925922374008,1.1908000157762402,0.44496185386465087,2.676184498589534,0.007446563985610449,
Zdhhc13,6.6025099732654615,-0.2663913725191203,0.6808768216630093,-0.3912475267824098,0.6956142811667179,
Htatip2,91.92365609152581,-0.0714889848341499,0.2578190972313561,-0.27728351236137744,0.7815624186355783,0.9866262364528611
Prmt3,26.949727242211146,0.2953951918028574,0.3828197939148937,0.7716298804249604,0.4403336715770042,
Fancf,9.905946557558163,0.7392589211739464,0.5948178556869046,1.242832430307996,0.21392958924954253,
