sender,receiver,ligand,receptor,pathway,SC,TC,delta_TC_SC,pct_change
Areg,Monocyte_Patrolling,Csf1,Csf1r,Macrophage-recruit,0.6579849599260462,0.7525119193328945,0.0945269594068483,14.4
Areg,Monocyte_Patrolling,Cxcl12,Cxcr4,CXCL12-homing,0.5127484448404658,0.8631822099670723,0.3504337651266065,68.3
Areg,Monocyte_Patrolling,Dll1,Notch1,Notch,0.0003410423676876113,0.0003668139019701382,2.5771534282526866e-05,7.6
Areg,Monocyte_Patrolling,Fndc5,Itgav,Irisin-autocrine,0.006496181251657102,0.016652237070718286,0.010156055819061184,156.3
Areg,Monocyte_Patrolling,Fndc5,Itgb1,Irisin-autocrine,0.020175140073919892,0.053974663621633424,0.03379952354771353,167.5
Areg,Monocyte_Patrolling,Fndc5,Itgb5,Irisin-autocrine,0.0029921349224940703,0.01743030394365774,0.014438169021163669,482.5
Areg,Monocyte_Patrolling,Il33,Il1rl1,ILC2-activation,0.000773283550772752,0.001306657095793808,0.0005333735450210559,69.0
Areg,Monocyte_Patrolling,Il6,Il6ra,IL6,0.3357450668403504,0.2686206764589744,-0.06712439038137596,-20.0
Areg,Monocyte_Patrolling,Il6,Il6st,IL6,0.050882061109574286,0.026344567810960576,-0.02453749329861371,-48.2
Areg,Monocyte_Patrolling,Jag1,Notch2,Notch,0.01749147115912608,0.013841262847451625,-0.003650208311674454,-20.9
Areg,Monocyte_Patrolling,Pdgfa,Pdgfra,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,Monocyte_Patrolling,Pdgfb,Pdgfrb,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,Monocyte_Patrolling,Tgfb1,Tgfbr1,TGFb-immunosup,0.020484189369327208,0.017956553334133773,-0.0025276360351934347,-12.3
Areg,Monocyte_Patrolling,Tgfb1,Tgfbr2,TGFb-immunosup,0.004841229220936245,0.00413935009760576,-0.0007018791233304846,-14.5
Areg,Monocyte_Patrolling,Tgfb2,Tgfbr1,TGFb-immunosup,0.09947140943048381,0.1367730593255753,0.03730164989509148,37.5
Areg,Monocyte_Patrolling,Tnf,Tnfrsf1a,TNF,0.00037716625007042234,0.0,-0.00037716625007042234,-100.0
Areg,Monocyte_Patrolling,Tslp,Crlf2,ILC2-activation,0.02887213171104483,0.015741751440036658,-0.013130380271008171,-45.5
Areg,Monocyte_Patrolling,Vegfa,Flt1,Angiogenesis,0.009015970377731377,0.01495744033163336,0.005941469953901983,65.9
Areg,Monocyte_Patrolling,Vegfa,Kdr,Angiogenesis,0.0,0.0,0.0,0.0
Areg,Monocyte_Patrolling,Wnt5a,Fzd4,Wnt,0.0,0.0,0.0,0.0
Areg,Monocyte_Patrolling,Wnt5a,Ror2,Wnt,0.0,0.0,0.0,0.0
Areg,NK,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,NK,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,NK,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,NK,Ccl2,Ccr2,Macrophage-recruit,0.2107528908391286,0.14378170292214904,-0.06697118791697956,-31.8
Areg,NK,Csf1,Csf1r,Macrophage-recruit,0.0002976181870098107,0.0,-0.0002976181870098107,-100.0
Areg,NK,Cxcl12,Cxcr4,CXCL12-homing,0.2264644053244664,0.3562799944680805,0.1298155891436141,57.3
Areg,NK,Dll1,Notch1,Notch,0.0004813685168063187,0.0012371428035423938,0.0007557742867360751,157.0
Areg,NK,Fndc5,Itgav,Irisin-autocrine,0.0016035380587407625,0.004820234647287469,0.0032166965885467064,200.6
Areg,NK,Fndc5,Itgb1,Irisin-autocrine,0.018607564353629785,0.05221458013261855,0.033607015778988766,180.6
Areg,NK,Fndc5,Itgb5,Irisin-autocrine,0.0,0.0,0.0,0.0
Areg,NK,Il33,Il1rl1,ILC2-activation,0.0008012264662587324,0.00041326399729080666,-0.00038796246896792574,-48.4
Areg,NK,Il6,Il6ra,IL6,0.0015239476490576196,0.0005002457730179337,-0.0010237018760396858,-67.2
Areg,NK,Il6,Il6st,IL6,0.0019313111469131444,0.00038510451135903405,-0.0015462066355541103,-80.1
Areg,NK,Jag1,Notch2,Notch,0.0032273651039530214,0.0024596995421097036,-0.0007676655618433178,-23.8
Areg,NK,Pdgfa,Pdgfra,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,NK,Pdgfb,Pdgfrb,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,NK,Tgfb1,Tgfbr1,TGFb-immunosup,0.004515812170483129,0.0031632759116848818,-0.0013525362587982468,-30.0
Areg,NK,Tgfb1,Tgfbr2,TGFb-immunosup,0.007294591198229541,0.004222123349290192,-0.003072467848939349,-42.1
Areg,NK,Tgfb2,Tgfbr1,TGFb-immunosup,0.02192882487182565,0.024094318986573528,0.0021654941147478783,9.9
Areg,NK,Tnf,Tnfrsf1a,TNF,8.550927861246262e-05,0.0,-8.550927861246262e-05,-100.0
Areg,NK,Tslp,Crlf2,ILC2-activation,0.010652550826049519,0.011371018372110615,0.0007184675460610961,6.7
Areg,NK,Vegfa,Flt1,Angiogenesis,0.0,6.030925424074404e-05,6.030925424074404e-05,603092.5
Areg,NK,Vegfa,Kdr,Angiogenesis,0.0,0.0,0.0,0.0
Areg,NK,Wnt5a,Fzd4,Wnt,0.0009440037384473618,0.0,-0.0009440037384473618,-100.0
Areg,NK,Wnt5a,Ror2,Wnt,0.0,0.0,0.0,0.0
Areg,NKT,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,NKT,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,NKT,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,NKT,Ccl2,Ccr2,Macrophage-recruit,0.05928155158571438,0.031014661816919187,-0.028266889768795194,-47.7
Areg,NKT,Csf1,Csf1r,Macrophage-recruit,0.0,0.0,0.0,0.0
Areg,NKT,Cxcl12,Cxcr4,CXCL12-homing,0.3012481220635132,0.4538485809464751,0.15260045888296192,50.7
Areg,NKT,Dll1,Notch1,Notch,0.0004890773129455912,0.0012240065245257732,0.000734929211580182,150.3
Areg,NKT,Fndc5,Itgav,Irisin-autocrine,0.002056425488795022,0.0037673668945223215,0.0017109414057272995,83.2
Areg,NKT,Fndc5,Itgb1,Irisin-autocrine,0.015100499154671283,0.03558635122848072,0.02048585207380944,135.7
Areg,NKT,Fndc5,Itgb5,Irisin-autocrine,0.0,0.0,0.0,0.0
Areg,NKT,Il33,Il1rl1,ILC2-activation,0.0014769700354321025,0.001094341581068554,-0.0003826284543635486,-25.9
Areg,NKT,Il6,Il6ra,IL6,0.005634930305128708,0.002274516301838625,-0.0033604140032900826,-59.6
Areg,NKT,Il6,Il6st,IL6,0.011360318925395532,0.006551948971374996,-0.004808369954020536,-42.3
Areg,NKT,Jag1,Notch2,Notch,0.0012771996836765651,0.0017859561051606246,0.0005087564214840594,39.8
Areg,NKT,Pdgfa,Pdgfra,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,NKT,Pdgfb,Pdgfrb,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,NKT,Tgfb1,Tgfbr1,TGFb-immunosup,0.003312953356305515,0.003774691270492981,0.000461737914187466,13.9
Areg,NKT,Tgfb1,Tgfbr2,TGFb-immunosup,0.009888700331226347,0.0051565586716781735,-0.0047321416595481735,-47.9
Areg,NKT,Tgfb2,Tgfbr1,TGFb-immunosup,0.016087731556642268,0.028751401422536575,0.012663669865894307,78.7
Areg,NKT,Tnf,Tnfrsf1a,TNF,6.564103176858385e-05,0.0,-6.564103176858385e-05,-100.0
Areg,NKT,Tslp,Crlf2,ILC2-activation,0.00669600675761404,0.007379300703846659,0.0006832939462326189,10.2
Areg,NKT,Vegfa,Flt1,Angiogenesis,0.0,0.0,0.0,0.0
Areg,NKT,Vegfa,Kdr,Angiogenesis,0.0,0.0,0.0,0.0
Areg,NKT,Wnt5a,Fzd4,Wnt,0.0,0.0,0.0,0.0
Areg,NKT,Wnt5a,Ror2,Wnt,0.0,0.0,0.0,0.0
Areg,Neutrophil,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Neutrophil,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Neutrophil,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Neutrophil,Ccl2,Ccr2,Macrophage-recruit,0.011326325705536464,0.009391710750981063,-0.0019346149545554012,-17.1
