gene,ob_lfc,ob_padj,rescue_lfc,rescue_padj,ceil_lfc,ceil_padj,ex_lfc,ex_padj,is_rescued,is_normalized,class
Thbs1,1.7271065060311572,2.2040179821025143e-08,-1.0638747032761822,0.0879102119311013,1.5445702949185085,0.22425681364608133,-0.8854193075226674,0.9593169984911744,True,True,Fully rescued
Sord,0.9436524686802626,0.0224691835279603,0.0177234633823663,0.997491188684572,0.22498750117488062,0.9996496209943752,0.7392536259844459,0.7723415594433731,False,True,Exercise-resistant
Duoxa1,1.7051586808443868,3.397919867388137e-09,-0.8067009395557038,0.256880514275794,1.12965262405139,0.04562604325366707,-0.2150546610797372,0.9997708173996,True,False,Partially rescued
Duox1,2.0191315857796432,7.987179229235933e-11,-0.8215114194117596,0.1976230696696102,1.6596001442513282,0.0012917065479214314,-0.4465406691278656,0.9997708173996,True,False,Partially rescued
Adam33,-1.1372959125700788,0.0006147264872791,0.5885084575498668,0.3934345814264482,-0.6670932238127867,0.19851421520481513,0.1152444155398369,0.9997708173996,True,True,Fully rescued
Postn,1.4107754247793145,7.735746887606366e-11,-1.365175646831952,3.448449829347424e-05,0.4589374299790346,0.9357233987100435,-0.4124542345476975,0.9997708173996,True,True,Fully rescued
Tm4sf1,1.283236636996645,0.0012268148600914,-1.7003778626066657,3.488889280469694e-06,-0.20569406399024798,0.9996496209943752,-0.2146525197296895,0.9997708173996,True,True,Fully rescued
Gask1b,-1.50575232416053,0.0009830423066507,1.460958342451527,0.5959723349637142,-0.3315307140488762,0.9996496209943752,0.2616706469537317,0.9997708173996,True,True,Fully rescued
Amy1,-0.9558473524759824,0.0190509696958472,0.6032741716211456,0.5013609922267137,-0.4892528306153924,0.7178330097866537,0.1343395430304343,0.9997708173996,True,True,Fully rescued
Mcub,1.3662963898888143,0.0008774330749512,-0.7535139193813729,0.2768546842553193,0.8261774283338547,0.35553736996071816,-0.1995902849556499,0.9997708173996,True,True,Fully rescued
Ddah1,2.0512748175509024,0.0023528147785294,-2.5769801615581747,0.0010122746533339,0.0395431540745054,0.9996496209943752,-0.5511654238379441,0.9997708173996,True,True,Fully rescued
Ptprf,1.193227666037267,0.000331959536398,-0.2747486658612491,0.9002258539545462,1.2229076630968134,0.026102686962697436,-0.3103423655372173,0.9997708173996,True,False,Partially rescued
Rspo1,-1.095917152465523,0.017220324716719,0.8711512732335734,0.4070839352160295,-0.6574017780899244,0.7400318128590108,0.4457629392409378,0.9997708173996,True,True,Fully rescued
Mfap2,0.8116103902854729,0.0036194477390324,-0.9000693097165077,0.0653368352499972,-0.3061966912332855,0.997798806318627,0.2149675805932952,0.9997708173996,True,True,Fully rescued
Pdpn,0.640607284432699,0.028317403379759,-0.1161077787699823,0.9475132928212232,0.3767868765534846,0.5633655464490444,0.149797862199008,0.9997708173996,True,True,Fully rescued
Acot7,1.7834264973096516,0.0496572962324836,-1.335919699839887,0.1263595869569692,1.51267749489346,0.6235955675407605,-1.0048964594194585,0.9997708173996,True,True,Fully rescued
Lgi2,-0.7360159713748151,0.042444433743309,1.0264609636718167,1.9067063552812365e-05,-0.06140183867560389,0.9996496209943752,0.3513156023797235,0.9007062253245195,True,True,Fully rescued
Sult1e1,-1.700264636625621,9.563574767251188e-17,1.9041216917664896,0.3419207737592864,-0.14908284399612168,0.9996496209943752,0.3449956914322547,0.9997708173996,True,True,Fully rescued
Cxcl10,-1.533713763014943,1.5054472246040436e-05,2.0318658715663416,3.5237280148536127e-06,-0.024760530396989264,0.9996496209943752,0.50849645436693,0.8079933586462498,True,True,Fully rescued
