gene,baseMean,log2FC,lfcSE,stat,pval,padj,n_a,n_b,contrast,cell_state,tissue,contrast_label,method,is_sig
Kif2a,483.96566302819474,-0.8052817805256497,0.22275629759947263,-3.615079749500901,0.0003002551781664843,0.021869433654928338,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Cadps,136.26781269654103,1.2249751827494224,0.340866853609506,3.5937057821196743,0.0003260079502133939,0.023349413856394854,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Nr1d2,528.9152216102156,2.080550962489348,0.22485150614412472,9.25299989387557,2.182786494480815e-20,7.161553128597405e-17,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Arhgef3,115.46340665554368,1.3082738193378836,0.36103901680577505,3.623635558595829,0.0002904908438105044,0.021444139257627167,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Gdf10,4304.816727134054,1.4678438774629674,0.2064855692790952,7.108699569600253,1.1714142241098613e-12,1.3728974706567574e-09,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Armh4,679.7720315053976,0.5671133366264527,0.16749002714432856,3.3859528611680445,0.0007093156683120552,0.04064221153724007,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Slc7a7,24.146368013441005,-1.9180373060489693,0.5330809716361615,-3.5980224545663737,0.0003206459415867226,0.023093673066681718,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Nefl,28.458832761401123,-2.6768385794276464,0.7240569312611624,-3.697000144401806,0.00021816221834204298,0.017578420742910113,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Klf12,109.64586176953071,0.9771830856306747,0.2939497753378533,3.3243198927692394,0.0008863446359388659,0.04761147936051608,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Gm36107,14.86009709792206,-3.9053591367441887,0.9357751183565813,-4.173394932323937,3.0009408500102573e-05,0.0034542972712796644,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Mir17hg,50.85329413962887,2.1725990554210295,0.5110548740603998,4.251205038236769,2.1262340007682217e-05,0.0026613018192139723,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Plcxd3,103.83964739507734,1.6614940528588056,0.3733879092256096,4.449780005744354,8.595829407757554e-06,0.0012737635945380503,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
C7,928.0743659907583,1.8696737678323812,0.3224879832170568,5.797654068164025,6.724899039380973e-09,3.4678959366279796e-06,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Slc1a3,185.3811388612606,1.065941709634468,0.2994373188538523,3.5598158362977026,0.0003711149590625478,0.025349402087250072,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Basp1,938.6849737054948,-0.9058953166394682,0.21677831865176148,-4.1789018490115835,2.929200591383075e-05,0.003402094957127081,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ext1,987.6654936090196,-0.6122860924529744,0.184924772940349,-3.3110009152233966,0.000929629045472395,0.04911794120586113,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Tnfrsf11b,48.11018947264867,-2.5569000756470914,0.5005967179626815,-5.107704433327315,3.2609620575907534e-07,9.944542521421525e-05,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Col14a1,1814.0983243025219,-1.112320761761192,0.191559878475891,-5.806647877473908,6.3735981452248516e-09,3.4236844703432827e-06,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
