gene,baseMean,log2FC,lfcSE,stat,pval,padj,n_a,n_b,contrast,cell_state,tissue,contrast_label,method,is_sig
Igf1,4526.164425955988,-1.4965479625725318,0.2615238609403288,-5.722414609479917,1.0502063236183144e-08,3.3706622005654473e-06,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Socs2,283.33446648117075,1.2934207784215244,0.2824553727051581,4.579204020918609,4.667487561567522e-06,0.0005617654672315196,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Tmtc2,92.41891579175517,1.320178174538943,0.3494812205940782,3.7775368081145833,0.00015838710216258152,0.00895765794276203,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Mdm2,595.8029577862707,0.6415096007956254,0.1986515166167572,3.229321435452414,0.001240843429594047,0.042453221905908,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Avpr1a,483.96580448332674,-0.8888722556288434,0.26431889640745065,-3.3628782039806815,0.0007713438712859989,0.02912525317909038,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Slc16a7,81.87715851259378,-1.3482266028880212,0.31991632965276995,-4.214310048978607,2.5054291051329706e-05,0.0021789151185285446,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Aebp1,8935.623897409178,0.7128492212860369,0.17102360256718926,4.168133582649699,3.071039487893856e-05,0.0024938320660728417,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ltc4s,62.6577077706607,3.3284254797435278,0.39709050895223796,8.382032319346798,5.202154497915666e-17,8.765630328987897e-14,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Gm12216,222.1163232318937,-1.1410717433594348,0.27753580574401987,-4.111439748469363,3.9319948996584536e-05,0.0030815867004299973,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Galnt10,80.15652448424342,1.1931035336938345,0.3555337132808862,3.3558098406021877,0.0007913295943561952,0.029713434350756303,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Mfap4,138.33826294557142,3.2252805654253263,0.8129178233881406,3.9675357983698247,7.261960663697128e-05,0.004969097956682095,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Shisa6,38.384952950103205,-1.725411379300752,0.45656212407049684,-3.7791382340650195,0.0001573720473793322,0.00895765794276203,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Aspa,478.5844681049107,-1.1758632548802612,0.20025733906189033,-5.871761106926803,4.311897968051427e-09,1.5709293137657633e-06,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Vtn,2003.6427264537413,-0.8195547278901542,0.20093354267457103,-4.078735272276032,4.528136286205295e-05,0.00342917287292401,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Adap2,583.8097567802889,-0.7787242412934292,0.20990596908369988,-3.7098718282895202,0.0002073642013885393,0.010628400892462015,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Tmem98,27.828670894474836,2.4201739368742885,0.555377540262833,4.357709416424976,1.3143072116755106e-05,0.0013421864555595367,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ccl2,6167.988055153856,0.7253738960706645,0.21825208734401774,3.3235599480306504,0.0008887631813996321,0.032644489605632265,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Unc45b,118.99130569826825,0.9826907760443137,0.2776863304093599,3.5388518210300433,0.00040187136781747856,0.017645687420780494,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Cacna1g,61.41270359333174,-1.1928647443265967,0.367191052538008,-3.248621490315653,0.0011596567578100272,0.039979982340867436,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Col1a1,32009.674840705495,1.0324813945203926,0.26084939810699015,3.9581513394825216,7.553209643963184e-05,0.0051422861616476625,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Samd14,89.84051994315018,1.0433668139232528,0.3157210991918457,3.3047104441038906,0.0009507456924755039,0.03426751854163046,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
