Gene_set,term,overlap,pval,adj_pval,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,genes,database
ChEA_2022,NR3C2 34362910 ChIP-Seq WistarRat Hippocampus Stress,13/974,0.00012140564790067874,0.0036685619691726,0,0,3.82790004193393,34.51377518711662,PDXK;ATP1A2;MYRIP;PPL;POR;LRRTM3;MAP1B;TIMP3;SLC16A7;SLC17A7;TNIK;ASPA;TNS2,ChEA_2022
ChEA_2022,TP63 23658742 ChIP-Seq EP156T Human,25/2937,0.00012987052526411595,0.0037608339607733,0,0,2.654845154845155,23.758136450552993,CLIC6;HLF;LPAR3;ATP1A2;SLC1A5;DEDD2;ADAMTSL1;NT5E;C7;BOC;TIMP3;GARNL3;KCNIP3;PDE4C;NR1D2;IGF1;SORL1;APLN;FNDC5;PSAT1;DOK7;PKP2;TNIK;CYB561;FGFR2,ChEA_2022
ChEA_2022,EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human,35/4931,0.00014217489995646198,0.0039524622187896,0,0,2.386710239651416,21.142559452553595,CLIC6;PDXK;HLF;SLC24A3;MAOB;WNK4;ATP1A2;PPL;DEDD2;NT5E;DBP;COTL1;SLC17A7;CACNG4;LMO1;GDF10;IL15RA;ACE;KCNIP3;PDE4C;PRG2;SCRIB;NR1D2;MYRIP;SORL1;FNDC5;GNAO1;POR;PER3;DOK7;PKP2;TNIK;TOX;CYB561;GSTM5,ChEA_2022
ChEA_2022,SOX2 21211035 ChIP-Seq LN229 Gbm,23/2673,0.00022770654322692185,0.006086771059335,0,0,2.6296590532936115,22.056141318795913,LMO1;PDXK;HLF;SLC24A3;PRG2;FMO1;MMD2;MYLK;ADAMTSL1;GNAO1;PDE11A;CSRP1;PSAT1;MAP1B;PAPPA;BOC;SLC16A7;RSPO3;AMPH;LRRN1;TOX;CACNG4;FGFR2,ChEA_2022
ChEA_2022,SUZ12 27294783 Chip-Seq ESCs Mouse,17/1657,0.00024885033441737417,0.0064055919414842,0,0,3.0077429345722027,24.960232699396144,LMO1;GDF10;IL15RA;HLF;ACE;HPCA;WNK4;IGF1;ADAMTSL1;CYP27A1;LRRTM3;RSPO3;SLC17A7;LRRN1;TOX;CACNG4;FGFR2,ChEA_2022
TF_Perturbations_Followed_by_Expression,IRF9 OE HUMAN GSE50002 CREEDSID GENE 1662 UP,7/253,6.905762984842698e-05,0.008361728014147,0,0,7.668894086201136,73.47237037886543,CYP27A1;NT5E;DBP;KCNIP3;FMO1;NR1D1;GSTM5,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,PLAGL2 OE MOUSE GSE21143 CREEDSID GENE 2546 DOWN,6/172,6.580630300647584e-05,0.008361728014147,0,0,9.64864864864865,92.9048592265936,CSRP1;COTL1;TIMP3;MMD2;ATP1A2;AGT,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,CREB1 KD MOUSE GSE17478 CREEDSID GENE 2158 DOWN,6/184,9.550919825699384e-05,0.0095885514559851,0,0,8.992711812936532,83.23913042615251,FNDC5;DGAT2;HLF;MAOB;SLC16A7;NR1D2,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,HNF1A KO MOUSE GSE23040 CREEDSID GENE 2995 DOWN,7/262,8.595380861880127e-05,0.0095885514559851,0,0,7.394842868654311,69.22830429248496,NT5E;ACE;MAOB;CNP;FMO1;AMPH;AGT,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,NFKB1 ACTIVATION HUMAN GSE20736 CREEDSID GENE 2522 UP,7/268,9.898711069496066e-05,0.0095885514559851,0,0,7.222642103605732,66.59652255117716,ADAMTSL1;NT5E;HLF;PAPPA;DOK7;COTL1;NABP1,TF_Perturbations_Followed_by_Expression
ChEA_2022,PHC1 16625203 ChIP-ChIP MESCs Mouse,10/700,0.0004673186774950896,0.0115995171735388,0,0,3.981366459627329,30.531105272061048,CLIC6;LMO1;GDF10;CCBE1;IL15RA;DGAT2;BOC;LRRN1;TOX;FGFR2,ChEA_2022
TF_Perturbations_Followed_by_Expression,PPARA DEFICIENCY MOUSE GSE6864 CREEDSID GENE 659 DOWN,6/195,0.00013130484639239048,0.0116529284334907,0,0,8.464607464607464,75.65656727798459,POR;DBP;DGAT2;ACE;CSRP1;ASPA,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,HSF1 KD HUMAN GSE3697 CREEDSID GENE 782 DOWN,8/379,0.00013633846068089635,0.0116529284334907,0,0,5.854746930218628,52.109414417685194,LMO1;MAOB;PAPPA;SLC16A7;NR1D2;PPL;SORL1;TNS2,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,CREB1 DN MOUSE GSE17478 CREEDSID GENE 2199 UP,7/291,0.0001647245570438892,0.0132969322991539,0,0,6.629944047848737,57.75500614205508,DBP;HLF;TEF;NR1D2;IGF1;NR1D1;APLN,TF_Perturbations_Followed_by_Expression
ChEA_2022,CHD4 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo,19/2119,0.0005610795871250694,0.0134465625190318,0,0,2.6430913348946135,19.785250825602805,LMO1;SLC24A3;RBFOX3;CNP;KCNIP3;HPCA;MMD2;MYRIP;SLC1A5;PSAT1;MAP1B;PAPPA;TIMP3;SLC16A7;TNIK;TOX;CYB561;CACNG4;FGFR2,ChEA_2022
TF_Perturbations_Followed_by_Expression,POU5F1 KD HUMAN GSE21135 CREEDSID GENE 1328 UP,8/400,0.0001969959871636563,0.0137651695754362,0,0,5.535147392290249,47.22768864660531,CLIC6;FNDC5;MAP1B;PAPPA;PKP2;WNK4;TIMP3;NABP1,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,TFAP2C KD HUMAN GSE15481 CREEDSID GENE 2968 UP,7/300,0.0001985395514909114,0.0137651695754362,0,0,6.423348450137921,54.75597662752629,CSRP1;COTL1;TIMP3;NABP1;PPL;CACNG4;MYLK,TF_Perturbations_Followed_by_Expression
